alpha,probe,dim,A_mean,B_mean,gap,p_perm,n_A,n_B
alpha0,P2,period_specificity,3.417,3.417,0.0,1.0,12,12
alpha0,P2,concreteness,3.75,3.833,-0.083,1.0,12,12
alpha0,P2,knowledge_invoked,3.667,3.583,0.083,1.0,12,12
alpha0,P2,locations_cited,1.333,1.0,0.333,0.4986,12,12
alpha0,P2,anchors,3.583,3.5,0.083,1.0,12,12
alpha0,P4,period_specificity,2.5,2.167,0.333,0.4854,12,12
alpha0,P4,concreteness,3.167,3.083,0.083,1.0,12,12
alpha0,P4,knowledge_invoked,3.083,2.917,0.167,0.8026,12,12
alpha0,P4,locations_cited,1.167,1.083,0.083,1.0,12,12
alpha0,P4,anchors,2.833,2.667,0.167,0.8702,12,12
alpha0,P5,period_specificity,1.833,1.417,0.417,0.4504,12,12
alpha0,P5,concreteness,3.167,3.0,0.167,0.6672,12,12
alpha0,P5,knowledge_invoked,1.583,1.25,0.333,0.5185,12,12
alpha0,P5,locations_cited,0.417,0.083,0.333,0.3295,12,12
alpha0,P5,anchors,1.5,1.25,0.25,0.6737,12,12
alpha1,P2,period_specificity,3.0,3.083,-0.083,1.0,12,12
alpha1,P2,concreteness,3.417,3.333,0.083,1.0,12,12
alpha1,P2,knowledge_invoked,3.583,3.5,0.083,1.0,12,12
alpha1,P2,locations_cited,0.833,1.167,-0.333,0.5029,12,12
alpha1,P2,anchors,2.75,3.167,-0.417,0.4232,12,12
alpha1,P4,period_specificity,2.333,1.917,0.417,0.4632,12,12
alpha1,P4,concreteness,3.083,2.917,0.167,0.825,12,12
alpha1,P4,knowledge_invoked,3.083,2.75,0.333,0.6373,12,12
alpha1,P4,locations_cited,1.167,0.667,0.5,0.2934,12,12
alpha1,P4,anchors,2.75,2.417,0.333,0.672,12,12
alpha1,P5,period_specificity,1.833,1.0,0.833,0.0662,12,12
alpha1,P5,concreteness,2.833,2.333,0.5,0.2447,12,12
alpha1,P5,knowledge_invoked,2.0,1.083,0.917,0.0381,12,12
alpha1,P5,locations_cited,0.333,0.0,0.333,0.2183,12,12
alpha1,P5,anchors,1.5,1.083,0.417,0.4306,12,12
