probe,name,type,dim,A,B,gap_A_minus_B
P1,Plausibility,priors-dependent,period_specificity,4.34,4.1,0.24
P1,Plausibility,priors-dependent,concreteness,4.63,4.4,0.23
P1,Plausibility,priors-dependent,knowledge_invoked,4.51,4.25,0.26
P1,Plausibility,priors-dependent,locations_cited,1.25,1.87,-0.61
P1,Plausibility,priors-dependent,anchors,5.37,6.06,-0.69
P2,Knowledge-gap,priors-dependent,period_specificity,3.64,3.58,0.07
P2,Knowledge-gap,priors-dependent,concreteness,4.24,4.24,-0.0
P2,Knowledge-gap,priors-dependent,knowledge_invoked,3.78,3.67,0.11
P2,Knowledge-gap,priors-dependent,locations_cited,1.94,1.85,0.09
P2,Knowledge-gap,priors-dependent,anchors,4.84,5.3,-0.47
P3,Stability,priors-independent,period_specificity,2.09,1.24,0.85
P3,Stability,priors-independent,concreteness,3.88,3.09,0.79
P3,Stability,priors-independent,knowledge_invoked,2.38,1.49,0.9
P3,Stability,priors-independent,locations_cited,1.09,0.93,0.16
P3,Stability,priors-independent,anchors,3.28,2.12,1.16
P4,Convention,priors-dependent,period_specificity,3.01,2.69,0.32
P4,Convention,priors-dependent,concreteness,4.26,4.18,0.08
P4,Convention,priors-dependent,knowledge_invoked,3.9,3.64,0.26
P4,Convention,priors-dependent,locations_cited,1.19,1.25,-0.06
P4,Convention,priors-dependent,anchors,5.41,4.9,0.51
P5,Salience,priors-symmetric,period_specificity,2.74,1.81,0.93
P5,Salience,priors-symmetric,concreteness,4.38,3.88,0.5
P5,Salience,priors-symmetric,knowledge_invoked,3.16,1.97,1.19
P5,Salience,priors-symmetric,locations_cited,1.7,1.19,0.5
P5,Salience,priors-symmetric,anchors,3.7,2.88,0.82
