probe,name,dim,pass1,pass2,lift
P1,Plausibility,period_specificity,3.76,4.22,0.46
P1,Plausibility,concreteness,4.08,4.51,0.43
P1,Plausibility,knowledge_invoked,3.79,4.38,0.59
P1,Plausibility,locations_cited,1.37,1.56,0.2
P1,Plausibility,anchors,4.93,5.72,0.79
P2,Knowledge-gap,period_specificity,2.4,3.61,1.21
P2,Knowledge-gap,concreteness,3.58,4.24,0.66
P2,Knowledge-gap,knowledge_invoked,2.36,3.72,1.36
P2,Knowledge-gap,locations_cited,0.8,1.89,1.09
P2,Knowledge-gap,anchors,3.46,5.07,1.61
P3,Stability,period_specificity,1.87,1.66,-0.2
P3,Stability,concreteness,3.17,3.49,0.32
P3,Stability,knowledge_invoked,2.13,1.93,-0.19
P3,Stability,locations_cited,0.57,1.01,0.44
P3,Stability,anchors,2.93,2.7,-0.23
P4,Convention,period_specificity,2.57,2.85,0.28
P4,Convention,concreteness,3.72,4.22,0.51
P4,Convention,knowledge_invoked,3.07,3.76,0.69
P4,Convention,locations_cited,0.78,1.22,0.45
P4,Convention,anchors,3.63,5.15,1.52
P5,Salience,period_specificity,2.88,2.28,-0.61
P5,Salience,concreteness,4.12,4.13,0.02
P5,Salience,knowledge_invoked,3.17,2.57,-0.6
P5,Salience,locations_cited,1.18,1.45,0.26
P5,Salience,anchors,4.85,3.29,-1.56
