scope,dim,eta2,F,p_value,n,n_perm
full,period_specificity,0.3089,0.447,9.999000099990002e-05,720,10000
full,concreteness,0.1078,0.121,9.999000099990002e-05,720,10000
full,knowledge_invoked,0.3186,0.468,9.999000099990002e-05,720,10000
full,locations_cited,0.0402,0.042,0.00019998000199980003,720,10000
full,anchors,0.1581,0.188,9.999000099990002e-05,720,10000
A,period_specificity,0.2556,0.343,9.999000099990002e-05,360,10000
A,concreteness,0.0759,0.082,9.999000099990002e-05,360,10000
A,knowledge_invoked,0.2535,0.34,9.999000099990002e-05,360,10000
A,locations_cited,0.0485,0.051,0.0013998600139986002,360,10000
A,anchors,0.0998,0.111,9.999000099990002e-05,360,10000
B,period_specificity,0.3822,0.619,9.999000099990002e-05,360,10000
B,concreteness,0.1606,0.191,9.999000099990002e-05,360,10000
B,knowledge_invoked,0.4148,0.709,9.999000099990002e-05,360,10000
B,locations_cited,0.0577,0.061,0.0004999500049995,360,10000
B,anchors,0.2366,0.31,9.999000099990002e-05,360,10000
