probe,probe_name,group,dim,n,mean,ci_lo,ci_hi
P1,Plausibility,A,period_specificity,72,4.375,4.194,4.528
P1,Plausibility,A,concreteness,72,4.639,4.5,4.764
P1,Plausibility,A,knowledge_invoked,72,4.528,4.347,4.681
P1,Plausibility,A,locations_cited,72,1.194,0.931,1.458
P1,Plausibility,A,anchors,72,5.306,4.792,5.847
P1,Plausibility,B,period_specificity,72,4.111,3.833,4.361
P1,Plausibility,B,concreteness,72,4.389,4.153,4.597
P1,Plausibility,B,knowledge_invoked,72,4.25,4.0,4.486
P1,Plausibility,B,locations_cited,72,1.819,1.431,2.236
P1,Plausibility,B,anchors,72,5.944,5.222,6.75
P2,Knowledge-gap,A,period_specificity,72,3.611,3.306,3.861
P2,Knowledge-gap,A,concreteness,72,4.208,3.972,4.403
P2,Knowledge-gap,A,knowledge_invoked,72,3.764,3.444,4.056
P2,Knowledge-gap,A,locations_cited,72,1.931,1.583,2.264
P2,Knowledge-gap,A,anchors,72,4.736,4.097,5.361
P2,Knowledge-gap,B,period_specificity,72,3.597,3.333,3.861
P2,Knowledge-gap,B,concreteness,72,4.278,4.042,4.5
P2,Knowledge-gap,B,knowledge_invoked,72,3.694,3.403,3.986
P2,Knowledge-gap,B,locations_cited,72,1.903,1.528,2.292
P2,Knowledge-gap,B,anchors,72,5.25,4.681,5.931
P3,Stability,A,period_specificity,72,2.042,1.681,2.389
P3,Stability,A,concreteness,72,3.806,3.514,4.083
P3,Stability,A,knowledge_invoked,72,2.319,1.986,2.667
P3,Stability,A,locations_cited,72,1.069,0.736,1.444
P3,Stability,A,anchors,72,3.208,2.653,3.833
P3,Stability,B,period_specificity,72,1.278,0.986,1.569
P3,Stability,B,concreteness,72,3.097,2.778,3.403
P3,Stability,B,knowledge_invoked,72,1.5,1.181,1.806
P3,Stability,B,locations_cited,72,0.903,0.514,1.333
P3,Stability,B,anchors,72,2.153,1.694,2.625
P4,Convention,A,period_specificity,72,3.056,2.736,3.389
P4,Convention,A,concreteness,72,4.292,4.083,4.5
P4,Convention,A,knowledge_invoked,72,3.917,3.653,4.167
P4,Convention,A,locations_cited,72,1.208,0.875,1.569
P4,Convention,A,anchors,72,5.417,4.708,6.181
P4,Convention,B,period_specificity,72,2.694,2.319,3.014
P4,Convention,B,concreteness,72,4.181,3.972,4.361
P4,Convention,B,knowledge_invoked,72,3.639,3.361,3.889
P4,Convention,B,locations_cited,72,1.25,0.903,1.597
P4,Convention,B,anchors,72,4.903,4.194,5.569
P5,Salience,A,period_specificity,72,2.722,2.347,3.056
P5,Salience,A,concreteness,72,4.333,4.097,4.542
P5,Salience,A,knowledge_invoked,72,3.125,2.736,3.486
P5,Salience,A,locations_cited,72,1.653,1.306,1.986
P5,Salience,A,anchors,72,3.625,2.986,4.264
P5,Salience,B,period_specificity,72,1.875,1.5,2.208
P5,Salience,B,concreteness,72,3.875,3.583,4.125
P5,Salience,B,knowledge_invoked,72,2.014,1.681,2.347
P5,Salience,B,locations_cited,72,1.194,0.903,1.472
P5,Salience,B,anchors,72,2.875,2.431,3.347
