probe,probe_name,axis,level,dim,n,mean,ci_lo,ci_hi
P1,Plausibility,era,distant,period_specificity,48,4.125,3.792,4.438
P1,Plausibility,era,distant,concreteness,48,4.375,4.125,4.604
P1,Plausibility,era,distant,knowledge_invoked,48,4.271,3.979,4.562
P1,Plausibility,era,distant,locations_cited,48,1.479,1.104,1.896
P1,Plausibility,era,distant,anchors,48,5.292,4.646,6.021
P1,Plausibility,era,middle,period_specificity,48,4.312,4.042,4.562
P1,Plausibility,era,middle,concreteness,48,4.479,4.229,4.708
P1,Plausibility,era,middle,knowledge_invoked,48,4.438,4.188,4.667
P1,Plausibility,era,middle,locations_cited,48,1.312,0.854,1.833
P1,Plausibility,era,middle,anchors,48,5.771,5.0,6.542
P1,Plausibility,era,recent,period_specificity,48,4.292,4.062,4.5
P1,Plausibility,era,recent,concreteness,48,4.688,4.562,4.812
P1,Plausibility,era,recent,knowledge_invoked,48,4.458,4.208,4.688
P1,Plausibility,era,recent,locations_cited,48,1.729,1.375,2.104
P1,Plausibility,era,recent,anchors,48,5.812,5.021,6.729
P2,Knowledge-gap,era,distant,period_specificity,48,3.271,2.875,3.646
P2,Knowledge-gap,era,distant,concreteness,48,3.938,3.583,4.271
P2,Knowledge-gap,era,distant,knowledge_invoked,48,3.375,2.958,3.771
P2,Knowledge-gap,era,distant,locations_cited,48,1.812,1.354,2.292
P2,Knowledge-gap,era,distant,anchors,48,4.646,3.833,5.583
P2,Knowledge-gap,era,middle,period_specificity,48,3.771,3.479,4.021
P2,Knowledge-gap,era,middle,concreteness,48,4.229,3.979,4.438
P2,Knowledge-gap,era,middle,knowledge_invoked,48,3.854,3.5,4.146
P2,Knowledge-gap,era,middle,locations_cited,48,1.604,1.208,2.021
P2,Knowledge-gap,era,middle,anchors,48,4.979,4.375,5.667
P2,Knowledge-gap,era,recent,period_specificity,48,3.771,3.5,4.021
P2,Knowledge-gap,era,recent,concreteness,48,4.562,4.417,4.708
P2,Knowledge-gap,era,recent,knowledge_invoked,48,3.958,3.625,4.292
P2,Knowledge-gap,era,recent,locations_cited,48,2.333,1.917,2.75
P2,Knowledge-gap,era,recent,anchors,48,5.354,4.688,6.062
P3,Stability,era,distant,period_specificity,48,1.688,1.271,2.146
P3,Stability,era,distant,concreteness,48,3.354,2.917,3.75
P3,Stability,era,distant,knowledge_invoked,48,2.062,1.646,2.479
P3,Stability,era,distant,locations_cited,48,0.771,0.417,1.167
P3,Stability,era,distant,anchors,48,2.521,1.979,3.083
P3,Stability,era,middle,period_specificity,48,1.438,1.0,1.875
P3,Stability,era,middle,concreteness,48,3.438,3.021,3.792
P3,Stability,era,middle,knowledge_invoked,48,1.438,0.979,1.875
P3,Stability,era,middle,locations_cited,48,0.938,0.479,1.438
P3,Stability,era,middle,anchors,48,2.042,1.542,2.521
P3,Stability,era,recent,period_specificity,48,1.854,1.438,2.292
P3,Stability,era,recent,concreteness,48,3.562,3.229,3.896
P3,Stability,era,recent,knowledge_invoked,48,2.229,1.792,2.646
P3,Stability,era,recent,locations_cited,48,1.25,0.833,1.708
P3,Stability,era,recent,anchors,48,3.479,2.667,4.333
P4,Convention,era,distant,period_specificity,48,2.917,2.542,3.292
P4,Convention,era,distant,concreteness,48,4.25,4.062,4.438
P4,Convention,era,distant,knowledge_invoked,48,3.854,3.521,4.167
P4,Convention,era,distant,locations_cited,48,1.271,0.875,1.688
P4,Convention,era,distant,anchors,48,5.208,4.5,5.875
P4,Convention,era,middle,period_specificity,48,3.042,2.646,3.417
P4,Convention,era,middle,concreteness,48,4.25,3.979,4.521
P4,Convention,era,middle,knowledge_invoked,48,3.854,3.542,4.125
P4,Convention,era,middle,locations_cited,48,1.271,0.833,1.75
P4,Convention,era,middle,anchors,48,5.0,4.188,5.854
P4,Convention,era,recent,period_specificity,48,2.667,2.188,3.104
P4,Convention,era,recent,concreteness,48,4.208,3.917,4.479
P4,Convention,era,recent,knowledge_invoked,48,3.625,3.271,3.958
P4,Convention,era,recent,locations_cited,48,1.146,0.812,1.479
P4,Convention,era,recent,anchors,48,5.271,4.333,6.271
P5,Salience,era,distant,period_specificity,48,2.167,1.688,2.688
P5,Salience,era,distant,concreteness,48,4.125,3.833,4.396
P5,Salience,era,distant,knowledge_invoked,48,2.417,2.0,2.875
P5,Salience,era,distant,locations_cited,48,1.5,1.104,1.917
P5,Salience,era,distant,anchors,48,3.333,2.667,3.917
P5,Salience,era,middle,period_specificity,48,2.542,2.125,2.958
P5,Salience,era,middle,concreteness,48,4.083,3.792,4.354
P5,Salience,era,middle,knowledge_invoked,48,2.771,2.354,3.188
P5,Salience,era,middle,locations_cited,48,1.312,0.979,1.646
P5,Salience,era,middle,anchors,48,3.0,2.417,3.604
P5,Salience,era,recent,period_specificity,48,2.188,1.75,2.646
P5,Salience,era,recent,concreteness,48,4.104,3.75,4.396
P5,Salience,era,recent,knowledge_invoked,48,2.521,2.062,2.958
P5,Salience,era,recent,locations_cited,48,1.458,1.042,1.917
P5,Salience,era,recent,anchors,48,3.417,2.604,4.271
