probe,probe_name,axis,level,dim,n,mean,ci_lo,ci_hi
P1,Plausibility,perspective,sp,period_specificity,72,4.208,4.0,4.417
P1,Plausibility,perspective,sp,concreteness,72,4.486,4.306,4.653
P1,Plausibility,perspective,sp,knowledge_invoked,72,4.306,4.083,4.528
P1,Plausibility,perspective,sp,locations_cited,72,1.208,0.889,1.528
P1,Plausibility,perspective,sp,anchors,72,5.458,4.792,6.153
P1,Plausibility,perspective,sys,period_specificity,72,4.278,4.056,4.5
P1,Plausibility,perspective,sys,concreteness,72,4.542,4.361,4.708
P1,Plausibility,perspective,sys,knowledge_invoked,72,4.472,4.25,4.667
P1,Plausibility,perspective,sys,locations_cited,72,1.806,1.458,2.139
P1,Plausibility,perspective,sys,anchors,72,5.792,5.236,6.431
P2,Knowledge-gap,perspective,sp,period_specificity,72,3.722,3.458,3.986
P2,Knowledge-gap,perspective,sp,concreteness,72,4.319,4.125,4.486
P2,Knowledge-gap,perspective,sp,knowledge_invoked,72,3.903,3.611,4.181
P2,Knowledge-gap,perspective,sp,locations_cited,72,1.931,1.583,2.292
P2,Knowledge-gap,perspective,sp,anchors,72,4.819,4.208,5.486
P2,Knowledge-gap,perspective,sys,period_specificity,72,3.486,3.208,3.75
P2,Knowledge-gap,perspective,sys,concreteness,72,4.167,3.903,4.403
P2,Knowledge-gap,perspective,sys,knowledge_invoked,72,3.556,3.222,3.875
P2,Knowledge-gap,perspective,sys,locations_cited,72,1.903,1.556,2.264
P2,Knowledge-gap,perspective,sys,anchors,72,5.167,4.597,5.736
P3,Stability,perspective,sp,period_specificity,72,1.264,0.944,1.583
P3,Stability,perspective,sp,concreteness,72,3.236,2.917,3.528
P3,Stability,perspective,sp,knowledge_invoked,72,1.764,1.403,2.111
P3,Stability,perspective,sp,locations_cited,72,1.014,0.639,1.417
P3,Stability,perspective,sp,anchors,72,2.208,1.764,2.681
P3,Stability,perspective,sys,period_specificity,72,2.056,1.708,2.431
P3,Stability,perspective,sys,concreteness,72,3.667,3.375,3.958
P3,Stability,perspective,sys,knowledge_invoked,72,2.056,1.708,2.458
P3,Stability,perspective,sys,locations_cited,72,0.958,0.639,1.319
P3,Stability,perspective,sys,anchors,72,3.153,2.569,3.833
P4,Convention,perspective,sp,period_specificity,72,2.569,2.222,2.944
P4,Convention,perspective,sp,concreteness,72,4.083,3.861,4.292
P4,Convention,perspective,sp,knowledge_invoked,72,3.736,3.458,4.0
P4,Convention,perspective,sp,locations_cited,72,1.194,0.875,1.556
P4,Convention,perspective,sp,anchors,72,4.944,4.125,5.819
P4,Convention,perspective,sys,period_specificity,72,3.181,2.875,3.458
P4,Convention,perspective,sys,concreteness,72,4.389,4.181,4.569
P4,Convention,perspective,sys,knowledge_invoked,72,3.819,3.556,4.069
P4,Convention,perspective,sys,locations_cited,72,1.264,0.931,1.611
P4,Convention,perspective,sys,anchors,72,5.375,4.806,6.028
P5,Salience,perspective,sp,period_specificity,72,1.792,1.403,2.194
P5,Salience,perspective,sp,concreteness,72,3.764,3.472,4.042
P5,Salience,perspective,sp,knowledge_invoked,72,2.306,1.944,2.653
P5,Salience,perspective,sp,locations_cited,72,1.125,0.819,1.431
P5,Salience,perspective,sp,anchors,72,2.583,2.097,3.153
P5,Salience,perspective,sys,period_specificity,72,2.806,2.472,3.153
P5,Salience,perspective,sys,concreteness,72,4.444,4.278,4.611
P5,Salience,perspective,sys,knowledge_invoked,72,2.833,2.472,3.194
P5,Salience,perspective,sys,locations_cited,72,1.722,1.417,2.097
P5,Salience,perspective,sys,anchors,72,3.917,3.347,4.458
