probe,variant,n,editorial_commitment,specificity,takeaway_count,craft_vocab_count
P1,neutral,108,4.139,3.491,3.444,1.194
P1,selective,108,5.0,4.935,5.907,5.37
P1,selective_blind,108,5.0,4.944,5.87,2.333
P2,neutral,108,3.083,3.287,3.778,0.222
P2,selective,108,4.991,4.852,5.75,6.417
P2,selective_blind,108,5.0,4.815,5.935,0.824
P3,neutral,108,3.926,4.259,3.861,0.222
P3,selective,108,5.0,5.0,6.417,6.315
P3,selective_blind,108,5.0,4.963,6.62,1.204
P4,neutral,108,3.37,2.222,2.935,0.046
P4,selective,108,5.0,4.444,7.972,6.093
P4,selective_blind,108,5.0,4.519,7.648,0.509
P5,neutral,108,4.204,2.806,2.963,0.12
P5,selective,108,5.0,4.556,7.222,5.417
P5,selective_blind,108,5.0,4.741,7.713,0.722
