probe,dim,selective,selective_blind,gap,nA,nB,p_value
ALL,craft_vocab_count,5.922,1.119,4.804,540,540,0.0001999600079984003
ALL,editorial_commitment,4.998,5.0,-0.002,540,540,1.0
ALL,specificity,4.757,4.796,-0.039,540,540,0.21875624875024996
ALL,takeaway_count,6.654,6.757,-0.104,540,540,0.374125174965007
P1,craft_vocab_count,5.37,2.333,3.037,108,108,0.0001999600079984003
P1,editorial_commitment,5.0,5.0,0.0,108,108,1.0
P1,specificity,4.935,4.944,-0.009,108,108,1.0
P1,takeaway_count,5.907,5.87,0.037,108,108,0.8950209958008398
P2,craft_vocab_count,6.417,0.824,5.593,108,108,0.0001999600079984003
P2,editorial_commitment,4.991,5.0,-0.009,108,108,1.0
P2,specificity,4.852,4.815,0.037,108,108,0.672865426914617
P2,takeaway_count,5.75,5.935,-0.185,108,108,0.33873225354929015
P3,craft_vocab_count,6.315,1.204,5.111,108,108,0.0001999600079984003
P3,editorial_commitment,5.0,5.0,0.0,108,108,1.0
P3,specificity,5.0,4.963,0.037,108,108,0.11737652469506099
P3,takeaway_count,6.417,6.62,-0.204,108,108,0.43431313737252547
P4,craft_vocab_count,6.093,0.509,5.583,108,108,0.0001999600079984003
P4,editorial_commitment,5.0,5.0,0.0,108,108,1.0
P4,specificity,4.444,4.519,-0.074,108,108,0.46750649870025995
P4,takeaway_count,7.972,7.648,0.324,108,108,0.22255548890221954
P5,craft_vocab_count,5.417,0.722,4.694,108,108,0.0001999600079984003
P5,editorial_commitment,5.0,5.0,0.0,108,108,1.0
P5,specificity,4.556,4.741,-0.185,108,108,0.023395320935812838
P5,takeaway_count,7.222,7.713,-0.491,108,108,0.05038992201559688
